antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'phlegm', 'cough'})",frozenset({'chest_pain'}),0.06829268292682927,0.14146341463414633,0.06829268292682927,1.0,7.06896551724138,1.0,0.05863176680547294,inf,0.9214659685863876,0.48275862068965525,1.0,0.7413793103448276
"frozenset({'high_fever', 'chills', 'phlegm'})",frozenset({'chest_pain'}),0.06463414634146342,0.14146341463414633,0.06463414634146342,1.0,7.06896551724138,1.0,0.055490779298036884,inf,0.9178617992177315,0.456896551724138,1.0,0.728448275862069
"frozenset({'chills', 'phlegm', 'malaise'})",frozenset({'chest_pain'}),0.06585365853658537,0.14146341463414633,0.06585365853658537,1.0,7.06896551724138,1.0,0.0565377751338489,inf,0.9190600522193212,0.4655172413793104,1.0,0.7327586206896552
"frozenset({'cough', 'malaise'})",frozenset({'chest_pain'}),0.06707317073170732,0.14146341463414633,0.06707317073170732,1.0,7.06896551724138,1.0,0.05758477096966092,inf,0.9202614379084969,0.4741379310344828,1.0,0.7370689655172414
"frozenset({'high_fever', 'malaise', 'phlegm', 'fatigue', 'cough'})",frozenset({'chest_pain'}),0.05853658536585366,0.14146341463414633,0.05853658536585366,1.0,7.06896551724138,1.0,0.050255800118976804,inf,0.911917098445596,0.4137931034482759,1.0,0.7068965517241379
"frozenset({'fatigue', 'high_fever', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.05975609756097561,0.14146341463414633,0.05975609756097561,1.0,7.06896551724138,1.0,0.051302795954788816,inf,0.913099870298314,0.4224137931034483,1.0,0.7112068965517242
"frozenset({'fatigue', 'phlegm'})",frozenset({'chest_pain'}),0.06829268292682927,0.14146341463414633,0.06829268292682927,1.0,7.06896551724138,1.0,0.05863176680547294,inf,0.9214659685863876,0.48275862068965525,1.0,0.7413793103448276
"frozenset({'fatigue', 'phlegm', 'malaise'})",frozenset({'chest_pain'}),0.06585365853658537,0.14146341463414633,0.06585365853658537,1.0,7.06896551724138,1.0,0.0565377751338489,inf,0.9190600522193212,0.4655172413793104,1.0,0.7327586206896552
"frozenset({'fatigue', 'high_fever', 'phlegm'})",frozenset({'chest_pain'}),0.06463414634146342,0.14146341463414633,0.06463414634146342,1.0,7.06896551724138,1.0,0.055490779298036884,inf,0.9178617992177315,0.456896551724138,1.0,0.728448275862069
"frozenset({'fatigue', 'phlegm', 'cough'})",frozenset({'chest_pain'}),0.06463414634146342,0.14146341463414633,0.06463414634146342,1.0,7.06896551724138,1.0,0.055490779298036884,inf,0.9178617992177315,0.456896551724138,1.0,0.728448275862069
"frozenset({'fatigue', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.06341463414634146,0.14146341463414633,0.06341463414634146,1.0,7.06896551724138,1.0,0.054443783462224865,inf,0.9166666666666667,0.4482758620689656,1.0,0.7241379310344828
"frozenset({'fatigue', 'high_fever', 'chills', 'phlegm'})",frozenset({'chest_pain'}),0.06097560975609756,0.14146341463414633,0.06097560975609756,1.0,7.06896551724138,1.0,0.052349791790600834,inf,0.9142857142857144,0.4310344827586207,1.0,0.7155172413793104
"frozenset({'high_fever', 'chills', 'phlegm', 'cough'})",frozenset({'chest_pain'}),0.06097560975609756,0.14146341463414633,0.06097560975609756,1.0,7.06896551724138,1.0,0.052349791790600834,inf,0.9142857142857144,0.4310344827586207,1.0,0.7155172413793104
"frozenset({'high_fever', 'chills', 'cough', 'malaise'})",frozenset({'chest_pain'}),0.05975609756097561,0.14146341463414633,0.05975609756097561,1.0,7.06896551724138,1.0,0.051302795954788816,inf,0.913099870298314,0.4224137931034483,1.0,0.7112068965517242
"frozenset({'fatigue', 'chills', 'phlegm', 'malaise'})",frozenset({'chest_pain'}),0.06219512195121951,0.14146341463414633,0.06219512195121951,1.0,7.06896551724138,1.0,0.05339678762641285,inf,0.915474642392718,0.43965517241379315,1.0,0.7198275862068966
"frozenset({'high_fever', 'malaise', 'chills', 'fatigue', 'cough'})",frozenset({'chest_pain'}),0.05609756097560976,0.14146341463414633,0.05609756097560976,1.0,7.06896551724138,1.0,0.048161808447352766,inf,0.9095607235142119,0.3965517241379311,1.0,0.6982758620689655
